stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
7010406,1116,"Family Justice Center S","",35.972826,-83.906986,,,0,,,0,,
7010407,2716,"Change Center NB on Harriet Tubman St","",35.974983,-83.907933,,,0,,,0,,
7010409,1106,"Magnolia Ave WB and Jessamine St","",35.977454,-83.912015,,,0,,,0,,
7010411,1681,"5th Ave WB and Lamar St","",35.974292,-83.920481,,,0,,,0,,
7010412,2628,"5th Ave WB and King St","",35.973341,-83.921879,,,0,,,0,,
7010413,1522,"5th Ave WB and Cooper St","",35.971961,-83.926202,,,0,,,0,,
7010418,1039,"University Ave WB and College St","",35.96838,-83.937914,,,0,,,0,,
7010419,1790,"Middlebrook Pk WB and Clyde St","",35.965899,-83.941096,,,0,,,0,,
7010420,2718,"Food City Western at 21st in Parking Lot","",35.965959,-83.943323,,,0,,,0,,
7010421,2672,"Cherokee Health","",35.966381,-83.944335,,,0,,,0,,
7010429,1529,"Western Ave WB and Majors Ave","",35.969504,-83.952358,,,0,,,0,,
7010430,1530,"Beaumont Av EB and Giffin St","",35.971928,-83.953527,,,0,,,0,,
7010433,1533,"Toms St NB and Journolman Ave","",35.974935,-83.947676,,,0,,,0,,
7010434,1534,"Oldham Ave EB and Reed St","",35.977443,-83.944701,,,0,,,0,,
7010444,1545,"Delaware Ave WB and Sherman St","",35.981206,-83.95996,,,0,,,0,,
7010445,1546,"Sherman St NB and Texas Ave","",35.982166,-83.961514,,,0,,,0,,
7010447,1549,"Texas Ave WB before Minnesota Ave","",35.979744,-83.96427,,,0,,,0,,
7010448,2735,"Western Avenue and Industrial Parkway Outbound","",35.975422,-83.966799,,,0,,,0,,
7010925,1571,"Oldham Ave WB and Reed St","",35.977777,-83.944416,,,0,,,0,,
7010926,1572,"Oldham Ave WB and Jourolman Ave","",35.975208,-83.94749,,,0,,,0,,
7010929,1575,"Keith Avenue WB and Giffin St","",35.971905,-83.953686,,,0,,,0,,
7010930,1576,"Western Ave EB after Major Ave","",35.969541,-83.952892,,,0,,,0,,
7010937,1047,"University Ave EB and Boyd St","",35.970784,-83.934902,,,0,,,0,,
7010941,1584,"5th Ave EB and Cooper St","",35.971975,-83.925966,,,0,,,0,,
7010942,1515,"5th Ave EB and Broadway St","",35.972455,-83.924183,,,0,,,0,,
7010943,1682,"5th Ave EB and King St","",35.973218,-83.921804,,,0,,,0,,
7010945,1100,"Magnolia Ave EB and Jessamine St","",35.977075,-83.912594,,,0,,,0,,
7010947,2717,"Change Center SB on Harriet Tubman","",35.974951,-83.908031,,,0,,,0,,
7010948,2661,"Family Justice Center N","",35.973018,-83.90725,,,0,,,0,,
7010949,2677,"Summit Hill Dr WB midblock after MLK Blvd","",35.970438,-83.907725,,,0,,,0,,
